geneID	x	y	MIDCount	cell
Pex19	19181	17525	1	160258
Pex19	23779	13314	1	216316
Copa	22039	9886	1	185922
Copa	28023	13421	1	288948
Copa	14852	14812	1	100565
Copa	25635	13173	1	251720
H3f3a	14077	19267	1	88360
Copa	16290	23241	1	123018
Copa	12829	19702	1	69970
Copa	15266	20358	1	107434
Copa	7428	21300	1	6044
Ncstn	27897	15571	1	287646
Ncstn	25616	13159	1	250856
Vangl2	14517	22471	1	95493
Vangl2	19989	11033	1	166469
Vangl2	17276	18269	1	138564
Slamf1	18255	18583	1	152214
Alyref2	24890	26000	1	237021
Alyref2	28774	16350	1	300238
Alyref2	15050	16161	1	103589
Alyref2	26703	18669	1	270151
F11r	21573	9953	1	180990
F11r	28861	13557	1	301215
F11r	28991	18885	1	302971
Usf1	29498	18787	1	310063
Usf1	8688	16763	1	16665
Usf1	23293	11981	1	207371
Usf1	15892	17255	1	116947
Usf1	28857	15986	1	301622
Pfdn2	17042	13758	1	134770
Pfdn2	30334	17547	1	320060
Pfdn2	12812	19713	1	69970
Pfdn2	27312	24094	1	279346
Pfdn2	18710	17083	1	156754
Pfdn2	25045	13450	1	239984
Cd34	27974	18454	1	288789
Pfdn2	30440	20164	1	321211
Pfdn2	10068	13840	1	31502
Pfdn2	27750	15367	1	285568
Pfdn2	15332	23236	1	108075
Pfdn2	19080	13891	1	159534
Pfdn2	20173	15826	1	168144
Pfdn2	26224	10093	1	261904
Pfdn2	23685	24809	1	214719
Nit1	12362	23449	1	63149
Nit1	19838	14266	2	165101
Nit1	29979	15715	1	315750
Dedd	30750	13500	1	324560
Dedd	16132	23391	1	120666
Dedd	31124	15517	1	328268
Gm20045	24507	9871	1	229775
Ufc1	11020	13056	1	43575
Ufc1	29890	15497	1	314643
Ufc1	27772	19478	1	285782
Ufc1	30875	13614	1	325971
Ufc1	27771	22231	1	285949
Ufc1	28431	19503	1	295252
Ufc1	25331	23712	1	245496
Ufc1	22739	13188	1	196986
Ufc1	6385	17164	1	665
Ufc1	9484	20258	1	24706
Usp21	16776	23241	1	130554
Usp21	24223	12444	1	224471
Usp21	26215	18619	1	262040
Ppox	17290	18255	1	138564
B4galt3	25336	23719	1	245496
B4galt3	8779	20070	1	17543
B4galt3	31328	14986	1	329948
Ndufs2	23683	24810	1	214719
Ndufs2	28554	17940	1	297193
Ndufs2	30102	14326	1	317387
Ndufs2	14934	16623	1	101584
Ndufs2	19210	18700	1	160523
Ndufs2	29154	13847	1	305352
Ndufs2	25039	13457	1	239984
Ndufs2	25835	12483	1	254925
Ndufs2	24664	9844	1	232826
Ndufs2	16383	23240	1	124369
Ndufs2	16643	14077	1	128145
Ndufs2	15668	13834	1	113463
Ndufs2	13485	21098	2	79384
Ndufs2	25880	10080	1	256214
Fcer1g	17509	17364	1	141878
Fcer1g	29567	18730	1	310638
Fcer1g	28900	11405	1	301827
Apoa2	28459	16227	1	295506
Apoa2	30844	16315	1	325644
Apoa2	12143	24018	1	59607
Apoa2	25992	23908	1	257979
Apoa2	24056	25823	1	221509
Apoa2	14510	21971	1	95180
Apoa2	25951	21576	1	257255
Apoa2	22224	9898	1	188706
Apoa2	27342	10584	1	279976
Apoa2	18114	19940	1	150558
Apoa2	16970	23807	1	133499
Apoa2	27318	21915	1	279692
Apoa2	15320	17328	1	107883
Apoa2	7576	21709	1	7032
Apoa2	22433	24913	1	191711
Apoa2	20221	19157	1	168541
Apoa2	28622	16705	1	298203
Apoa2	25225	17763	1	243187
Apoa2	30366	12689	1	320279
Apoa2	23745	25444	1	215989
Nr1i3	28275	13364	1	293190
Pcp4l1	29744	19518	1	312909
Mpz	30434	19633	1	320806
Sdhc	22220	9908	1	188706
Sdhc	29388	19411	1	308373
Sdhc	13675	15799	1	82174
Sdhc	25479	9921	1	248328
Sdhc	24525	11798	1	230154
Sdhc	19847	10678	1	165234
Sdhc	10336	17245	1	34818
Sdhc	27738	10766	1	285434
Sdhc	29750	18537	1	312956
Sdhc	17442	20497	1	141085
Sdhc	14534	16137	1	95432
Sdhc	24293	25609	2	225826
Sdhc	25073	9880	1	240467
Sdhc	25675	17351	1	252294
Sdhc	30802	22087	1	325096
Sdhc	27988	14593	1	288828
Sdhc	22858	24472	1	199334
Tagln2	20709	10409	1	173109
Fcgr3	15943	19564	1	118114
Fcgr3	26100	23007	1	259960
Fcgr4	24323	25742	1	226374
Fcrla	31739	16326	1	333343
Fcrla	13760	22825	1	83948
Fcrla	16459	16238	1	125431
Fcrla	6818	18218	1	2353
Fcrla	26469	13779	1	266400
Fcrla	28818	16382	1	300767
Fcrla	28438	16220	1	295506
Fcrla	13958	23967	1	86866
Fcrla	24372	23157	1	227424
Fcrla	23626	13565	1	213420
Atf6	25618	25641	1	251165
Atf6	25270	24722	1	244186
Atf6	28355	19395	1	294142
Atf6	28811	18999	1	300855
Atf6	17044	23758	1	134531
Atf6	22411	21363	1	191540
Atf6	9957	20871	1	29731
Nos1ap	15597	24174	1	112471
Nos1ap	28048	13376	1	289845
Nos1ap	18099	10592	1	150574
Nos1ap	9498	14412	1	24867
Nos1ap	26047	12818	1	258995
Nos1ap	31256	14677	1	329334
Nos1ap	25517	12999	1	248992
Nos1ap	16472	17352	1	125647
Nos1ap	29487	15865	1	309704
Nos1ap	22597	9879	1	194326
Nos1ap	23981	9851	1	219929
Nos1ap	26931	22052	1	273919
Nos1ap	13116	17439	1	74493
Nos1ap	16180	23632	1	121310
Nos1ap	21290	14060	1	178568
Nos1ap	28393	15010	1	294758
Nos1ap	29520	18756	1	310191
Nos1ap	15168	23248	1	105603
Nos1ap	17468	22010	1	141421
Nos1ap	23786	12573	1	216395
